"GEOID","estimate"
"35004",12045
"35005",7344
"35006",2883
"35007",26332
"35010",20613
"35013",46
"35014",4963
"35016",17208
"35019",2492
"35020",25757
"35022",21587
"35023",23523
"35031",7779
"35032",44
"35033",2946
"35034",6416
"35035",821
"35036",204
"35040",17311
"35042",6078
"35043",12153
"35044",7409
"35045",15143
"35046",5017
"35049",3856
"35051",9838
"35052",283
"35053",2398
"35054",4318
"35055",21153
"35057",14187
"35058",8630
"35060",272
"35061",1130
"35062",7904
"35063",3629
"35064",11048
"35068",7967
"35070",296
"35071",16052
"35072",4410
"35073",2074
"35074",99
"35077",13821
"35078",1927
"35079",9055
"35080",18471
"35082",0
"35083",3191
"35085",8901
"35087",2571
"35089",1954
"35091",3118
"35094",15059
"35096",8221
"35097",1884
"35098",1091
"35111",16325
"35112",281
"35114",8310
"35115",14988
"35116",4332
"35117",5478
"35118",3467
"35119",282
"35120",14424
"35121",16123
"35124",24387
"35125",9931
"35126",20749
"35127",9651
"35128",10573
"35130",2925
"35131",4696
"35133",3222
"35135",2514
"35136",2197
"35139",161
"35143",2880
"35146",11175
"35147",6022
"35148",2183
"35149",251
"35150",16991
"35151",7649
"35160",25999
"35171",3254
"35172",3000
"35173",27514
"35175",5289
"35176",784
"35178",3202
"35179",8616
"35180",14967
"35183",918
"35184",4666
"35186",5085
"35187",6
"35188",3014
"35203",3125
"35204",9262
"35205",20857
"35206",17713
"35207",8696
"35208",13719
"35209",28252
"35210",14022
"35211",24745
"35212",11295
"35213",14062
"35214",17789
"35215",48680
"35216",36856
"35217",13256
"35218",7235
"35221",4484
"35222",8989
"35223",11111
"35224",5328
"35226",35331
"35228",10059
"35229",1255
"35233",1730
"35234",5063
"35235",21340
"35242",56340
"35243",17059
"35244",31941
"35254",1598
"35401",37705
"35404",22345
"35405",45391
"35406",17914
"35441",972
"35442",6730
"35443",1777
"35444",3972
"35446",2147
"35447",3032
"35452",3416
"35453",10721
"35456",4051
"35457",0
"35458",445
"35459",1156
"35460",956
"35461",2093
"35462",4447
"35463",2074
"35464",854
"35466",5441
"35469",311
"35470",4836
"35473",16294
"35474",6617
"35475",15952
"35476",7208
"35477",137
"35480",1007
"35481",3174
"35490",3911
"35501",10208
"35503",8798
"35504",12832
"35540",2786
"35541",3399
"35542",920
"35543",1033
"35544",513
"35545",99
"35546",3996
"35548",1600
"35549",3712
"35550",5504
"35552",997
"35553",4111
"35554",1034
"35555",9537
"35559",12
"35563",4646
"35564",2134
"35565",12645
"35570",11159
"35571",776
"35572",1267
"35574",1694
"35575",1082
"35576",2869
"35577",48
"35578",6111
"35579",3614
"35580",3564
"35581",6073
"35582",4561
"35584",365
"35585",1727
"35586",3947
"35587",582
"35592",4839
